Edad,Género,Estado Civil al momento de ingresar a la Universidad,Nacionalidad,Provincia donde reside,Indique la región de la cual viene,Indique el promedio con el que ingresó a la Universidad,Edad de ingreso a la universidad,Carrera en la que estudia,Puede indicarnos las razones por las cuales usted ingresó a esta carrera,Categorías de las razones de ingreso a carrera,¿Sabía de la carrera antes que entrara a la universidad?,Nivel actual de la carrera,¿Tuvo motivación familiar para ingresar a la carrera?,¿Tiene en su círculo cercano de amistades o conocidos alguien que estudiara una carrera similar o la misma carrera que usted escogió?,¿Tuvo motivación por los profesores de secundaria para escoger la carrera?,Puede indicarnos acerca de factores externos que influyeran en su selección de carrera,Su colegio era:,¿Cuál fue su emoción al ingresar a la carrera?,¿Sabía usted al momento de ingresar a la carrera que existían diferentes oportunidades de becas en la UNA?,¿Tiene actualmente o tuvo una beca universitaria?,¿Usted al ingresar a la universidad estaba trabajando?,Nivel escolar de su madre,Nivel escolar de su padre,¿Cuáles fueron los factores por los cuales ingresó a la UNA?,Categorías de los factores de ingreso a la UNA
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,739,19,Ingeniería en sistemas de la información,"Debido a que tenia conocimiento previo sobre la carrera, quise continuar estudiando sobre la carrera.",Experiencia académica previa,Sí,Tercero,Sí,Sí,Si,"Durante mis últimos tres años de colegio, yo estuve en un colegio técnico, por lo que los profesores siempre nos incentivaron a estudiar sobre informática.",CTP público,Entusiasmo,No,Sí,Sí,Técnico,Bachillerato Universitario,"No estoy segura a que se refiere con factores. Pero una de las cosas por la cual logré ingresar, fue debido a clases particulares que tomé para poder realizar el examen de admisión. ",Otros
38,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,18,Ingeniería en sistemas de la información,"Tenía dos opciones Informática y Publicidad, la opción de publicidad perdió fuerza porque el puntaje de la UCR que estaba muy alta (700 aprox) mientras que la de informática tomó fuerza porque era elegible y además tenía un técnico medio en redes que saqué en mi colegio (CTPU).",Experiencia académica previa,Sí,Egresado (a),Sí,Sí,No,"Que el colegio fuera un técnico influyó en gran parte porque era darle continuidad a el esfuerzo de tres años de estudios de secundaria, eventualmente todo mi primer año de universidad fue extremadamente fácil dado que ya tenía cubierto el contenido desde el colegio. Básicamente comencé a tener que estudiar desde el segundo año.",CTP público,"Entusiasmo,Incertidumbre",No,Sí,No,Secundaria,Primaria,"Realmente en ese momento apliqué a todas las universidades públicas; sin embargo, después de haber terminado mi carrera y llevado una segunda carrera en una universidad privada (Universidad Latina), considero importante: Certificaciones de la carrera, flexibilidad de horarios (bastante decadente en universidades públicas y bastante bueno en privadas), docentes con experiencia comprobable fuera de la academia (se debería fomentar que los docentes trabajen en su área), vigencia del programa de estudio (debería actualizase cada 2 años idealmente), alianzas con otras universidades o redes, entre otros.",Otros
20,Hombre,Soltero (a),Costarricense,Alajuela,Urbana,9.2,19,Ingeniería en sistemas de la información,Gusto a la informática.,Interés personal_Afinidad con la materia,Sí,Tercero,No,Sí,Si,,Privado,"Felicidad,Ansiedad,Entusiasmo",No,Sí,No,Secundaria,Bachillerato Universitario,Me indicaron que para Ingeniería en Sistemas era la mejor del país.,Recomendaciones_Reputación
21,Hombre,Soltero (a),Costarricense,Heredia,Rural,,18,Ingeniería en sistemas de la información,Porque llevé un técnico en mi colegio y me gustó la carrera.,Experiencia académica previa_Interés personal,Sí,Tercero,Sí,Sí,Si,El salario.,CTP público,"Ansiedad,Entusiasmo",Sí,No,No,Licenciatura,Secundaria incompleta,Porque mi mamá estudió en esa universidad y me la recomendaron.,Interés personal_Recomendaciones
19,Hombre,Soltero (a),Costarricense,San José,Urbana,No me acuerdo,17,Ingeniería en sistemas de la información,"Afición a las computadoras y la tecnología, además de la potencial ganancia economica",Interés personal_Afinidad con la materia_Proyecciones económicas,Sí,Tercero,Sí,Sí,Si,No,Semiprivado,"Felicidad,Miedo,Ansiedad,Entusiasmo",Sí,Sí,No,Bachillerato Universitario,Bachillerato Universitario,Debido al plan de estudios de la carrera,Factores Curriculares
19,Hombre,Soltero (a),Costarricense,Heredia,Rural,99.82,17,Ingeniería en sistemas de la información,"Me parecía interesante ya que quería adentrarme al mundo de la tecnología y la programación, pero no sabía mucho de qué iba ",Otros,No,Tercero,Sí,Sí,No,La ubicación de la universidad influenció mucho ya que estaba entre dos universidades,Privado,"Felicidad,Ansiedad,Entusiasmo",No,Sí,No,Maestría,Maestría,La ubicación principalmente y el renombre por ser una universidad pública,Cercanía Geográfica_Reputación
22,Hombre,Soltero (a),Costarricense,San José,Urbana,698,22,Ingeniería en sistemas de la información,Interes en la informatica,Interés personal,Sí,Primero,Sí,Sí,No,,Público Académico (Liceo),"Felicidad,Miedo",Sí,Sí,No,Técnico,Técnico,"Conocidos y amigos que estudian en la universidad, y las oportunidades que la universidad ofrece",Interés personal_Reputación
23,Hombre,Soltero (a),Costarricense,San José,Urbana,86,19,Ingeniería en sistemas de la información,"Mayor oportunidad laboral y remuneración.Gusto previo por la computación.Recomendación de familiares que también estudiaron la carrera.Por la acreditación de la carrera.",Amplia oportunidad laboral_Interés personal_Recomendaciones_Otros,Sí,Primero,Sí,Sí,No,"Un familiar egresado de la carrera en esta universidad.",Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,Sí,Secundaria,Secundaria incompleta,Fue la única universidad pública a la cual me alcanzó el puntaje para ingresar.,Admisión a la carrera
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,No lo recuerdo,23,Ingeniería en sistemas de la información,Me gusta la carrera y tiene demanda en el mercado.,Interés personal_Amplia oportunidad laboral,Sí,Segundo,Sí,Sí,No,Me gusta todo lo referente a la informática y lo que se puede crear para el usuario.,Público Académico (Liceo),"Felicidad,Angustia",Sí,Sí,No,Secundaria,Primaria,"Anteriormente ya estaba en una carrera y la actual en la que estoy ahora mismo, se encontraba en la misma universidad, entonces aproveche la oportunidad, sin indagar en otras universidades.",Otros
19,Hombre,Soltero (a),Costarricense,Heredia,Urbana,669.8,19,Ingeniería en sistemas de la información,"Me llama la atención la tecnología y lo inmenso del mundo del software, además la salida laboral actual es muy llamativa en la variedad de empleos y la remuneración.",Interés personal_Amplia oportunidad laboral_Proyecciones económicas,Sí,Primero,Sí,No,No,Mi familia.,Público Académico (Liceo),Felicidad,Sí,No,No,Secundaria,Secundaria,Búsqueda de un mejor futuro para mí y mi familia a través de lograr volverme profesional.,Oportunidad laboral_Proyecciones económicas
27,Hombre,Soltero (a),Costarricense,San José,Urbana,672,18,Ingeniería en sistemas de la información,"Me gusta ser creativo, la innovación, lo furirista, me gusta aprender constantemente, entre otras cosas.",Otros,Sí,Tercero,Sí,Sí,Si,Ninguno,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad,Entusiasmo",Sí,No,No,Secundaria incompleta,Primaria,"Reconocimiento, factor económico, prestigio, plan de estudios.",Reputación_Factores Económicos_Reputación_Factores Curriculares
